сервер	канал	id	запись	сообщ/день	%вопросов	%по теме	выборка
chess-academy	#math	1304900911172288553	да	10	8	0	49
echo-chess	#💡・game-info	1201916134203600906	НЕТ	24	0	0	1
echo-chess	#📜・guidelines	1201916134203600908	НЕТ	0	0	0	0
echo-chess	#💬・general-chat	1201916134203600913	да	147	5	0	42
echo-chess	#💎・achievements	1201916134417235970	да	45	0	0	15
echo-chess	#🗣・how-to-voice	1201916135151501347	НЕТ	0	0	0	0
echo-chess	#🐴・chess	1204160411939770378	да	166	0	0	47
echo-chess	#🌝・random	1210765237427634276	да	27	5	0	42
echo-chess	#🎨・puzzle-builders	1235144800253116478	да	7	0	0	21
echo-chess	#🧮・other-games	1257347526692962446	да	9	17	0	6
echo-chess	#🤡・memes	1265138401078804581	да	28	10	0	40
echo-chess	#🎧・music	1363263295821320232	да	0	21	0	43
kingside	#общее	1520007731342479441	да	0	0	0	0
kingside	#клипы-и-основные-моменты	1520007731342479442	да	0	0	0	0

# Выводы (12.07.2026, выборка 50 сообщений/канал, 110 каналов 6 серверов):
# 1. Лучший рабочий канал: chess-academy #help-and-advice — 230 сообщ/день, 40% по теме, ЗАПИСЬ ОТКРЫТА.
# 2. Лучший контент: chesscom #improvement-talk (489/день, 25% вопросов) — запись закрыта ролью, только мониторинг.
# 3. Легальное промо (запись открыта): chesscom #chesscom-promotions, lichess #promotion, echo-chess #self-promo — для будущих ссылок, редко.
# 4. Тематические с записью: chess-academy #endgames/#books/#openings/#puzzles, chesscom #ask-magnus, #weekend-puzzle-rush.
# 5. Прежние выборы были плохи по данным: #chess-talk (2% вопросов), lichess #chess (2% темы), #daily-puzzle (мёртв) — из ядра исключены.
# 6. Строки с выборкой <10 сообщений — шум, не учитывать.
